datetime,open,high,low,close,volume
2023-12-21 19:45:00,92221,92240,92184,92188,2093
2023-12-21 20:00:00,92189,92214,92187,92214,2956
2023-12-21 20:15:00,92214,92236,92213,92232,1924
2023-12-21 20:30:00,92233,92290,92220,92250,2516
2023-12-21 20:45:00,92247,92345,92246,92344,1944
2023-12-21 21:00:00,92344,92345,92310,92339,1423
2023-12-21 21:15:00,92340,92340,92281,92312,1216
2023-12-21 21:30:00,92319,92324,92256,92274,890
2023-12-21 21:45:00,92273,92293,92251,92252,1020
2023-12-21 22:00:00,92252,92288,92205,92288,2267
2023-12-21 22:15:00,92279,92288,92238,92240,576
2023-12-21 22:30:00,92240,92247,92220,92233,850
2023-12-21 22:45:00,92232,92266,92224,92251,644
2023-12-21 23:00:00,92240,92262,92227,92243,1153
2023-12-21 23:15:00,92236,92279,92227,92275,848
2023-12-21 23:30:00,92273,92296,92214,92218,3340
2023-12-21 23:45:00,92215,92244,92193,92222,1681
2023-12-22 08:45:00,92193,92193,92193,92193,83
2023-12-22 09:00:00,92196,92365,92195,92365,7685
2023-12-22 09:15:00,92358,92416,92328,92359,7030
2023-12-22 09:30:00,92361,92400,92303,92397,6208
2023-12-22 09:45:00,92397,92500,92337,92484,11148
2023-12-22 10:00:00,92486,92623,92358,92466,28025
2023-12-22 10:15:00,92472,92744,92442,92720,29851
2023-12-22 10:30:00,92721,92744,92562,92587,15333
2023-12-22 10:45:00,92593,92625,92380,92458,22564
2023-12-22 11:00:00,92457,92458,92210,92335,37856
2023-12-22 11:15:00,92338,92370,92256,92332,14045
2023-12-22 11:30:00,92331,92549,92280,92503,28114
2023-12-22 11:45:00,92504,92537,92211,92261,28433
2023-12-22 12:00:00,92261,92325,92216,92300,23589
2023-12-22 12:15:00,92299,92431,92276,92391,27970
2023-12-22 12:30:00,92390,92400,91820,91850,60052
2023-12-22 12:45:00,91859,91868,91478,91685,93180
2023-12-22 13:00:00,91684,91700,91490,91598,58699
2023-12-22 13:15:00,91595,91618,91490,91543,28799
2023-12-22 13:30:00,91544,91592,91456,91544,25413
2023-12-22 13:45:00,91545,91690,91517,91670,25110
2023-12-22 14:00:00,91670,91800,91651,91736,25389
2023-12-22 14:15:00,91742,91798,91660,91669,18388
2023-12-22 14:30:00,91669,91850,91650,91844,37052
2023-12-22 14:45:00,91844,91850,91600,91683,75517
2023-12-22 15:00:00,91683,91695,91636,91679,8688
2023-12-22 15:15:00,91676,91700,91608,91634,17770
2023-12-22 15:30:00,91634,91693,91600,91680,25300
2023-12-22 15:45:00,91680,91840,91636,91787,20091
2023-12-22 16:00:00,91786,92020,91777,91917,29205
2023-12-22 16:15:00,91920,91971,91871,91931,9562
2023-12-22 16:30:00,91934,92170,91931,92162,28379
2023-12-22 16:45:00,92162,92187,92014,92036,12059
2023-12-22 17:00:00,92038,92168,91986,92014,15732
2023-12-22 17:15:00,92014,92045,91918,92014,9633
2023-12-22 17:30:00,92018,92018,91809,91968,16104
2023-12-22 17:45:00,91968,92220,91946,92133,32362
2023-12-22 18:00:00,92132,92193,92030,92076,13575
2023-12-22 18:15:00,92076,92155,92031,92059,7526
2023-12-22 18:30:00,92058,92189,92041,92150,6534
2023-12-22 18:45:00,92150,92158,92127,92149,2113
2023-12-22 19:00:00,92081,92185,92051,92168,1850
2023-12-22 19:15:00,92167,92199,92150,92190,2370
2023-12-22 19:30:00,92190,92200,92151,92152,1333
2023-12-22 19:45:00,92151,92170,92150,92160,2412
2023-12-22 20:00:00,92164,92184,92151,92152,581
2023-12-22 20:15:00,92151,92157,92150,92153,609
2023-12-22 20:30:00,92153,92155,92065,92086,2108
2023-12-22 20:45:00,92092,92120,92030,92099,1687
2023-12-22 21:00:00,92099,92115,92050,92081,1775
2023-12-22 21:15:00,92078,92102,92075,92080,414
2023-12-22 21:30:00,92082,92097,92073,92090,240
2023-12-22 21:45:00,92087,92104,91953,92053,2447
2023-12-22 22:00:00,92053,92093,92044,92093,485
2023-12-22 22:15:00,92093,92122,92086,92100,895
2023-12-22 22:30:00,92100,92144,92100,92142,786
2023-12-22 22:45:00,92142,92142,92092,92111,647
2023-12-22 23:00:00,92117,92127,92091,92101,814
2023-12-22 23:15:00,92100,92135,92094,92115,627
2023-12-22 23:30:00,92124,92127,92057,92087,1178
2023-12-22 23:45:00,92096,92107,92012,92061,1583
2023-12-25 08:45:00,91976,92001,91976,91980,131
2023-12-25 09:00:00,91976,92072,91884,92071,8374
2023-12-25 09:15:00,92071,92190,92050,92174,6519
2023-12-25 09:30:00,92175,92200,92106,92123,5198
2023-12-25 09:45:00,92120,92169,92070,92089,4977
2023-12-25 10:00:00,92097,92197,92022,92152,23067
2023-12-25 10:15:00,92162,92387,92129,92378,28472
2023-12-25 10:30:00,92378,92530,92341,92506,31933
2023-12-25 10:45:00,92507,92698,92506,92597,43758
2023-12-25 11:00:00,92600,92821,92592,92767,37850
2023-12-25 11:15:00,92766,92844,92609,92610,32277
2023-12-25 11:30:00,92617,92735,92592,92682,22905
2023-12-25 11:45:00,92682,92712,92484,92544,20918
2023-12-25 12:00:00,92546,92578,92360,92374,27544
2023-12-25 12:15:00,92370,92375,92179,92213,29123
2023-12-25 12:30:00,92211,92250,92168,92205,25544
2023-12-25 12:45:00,92205,92250,92001,92023,27619
2023-12-25 13:00:00,92020,92021,91913,91973,35733
2023-12-25 13:15:00,91969,91972,91748,91779,43754
2023-12-25 13:30:00,91779,91836,91700,91773,52323
2023-12-25 13:45:00,91770,91893,91664,91891,73268
2023-12-25 14:00:00,91878,91930,91850,91888,17675
2023-12-25 14:15:00,91888,91934,91698,91743,36992
2023-12-25 14:30:00,91743,91876,91735,91862,12091
2023-12-25 14:45:00,91860,91885,91792,91857,10162
2023-12-25 15:00:00,91856,91900,91738,91780,16491
2023-12-25 15:15:00,91779,91800,91708,91760,18589
2023-12-25 15:30:00,91761,91892,91721,91764,13847
2023-12-25 15:45:00,91765,91794,91650,91710,36781
2023-12-25 16:00:00,91710,91710,91664,91701,16292
2023-12-25 16:15:00,91704,91833,91581,91785,43348
2023-12-25 16:30:00,91785,91794,91513,91560,25371
2023-12-25 16:45:00,91560,91637,91408,91541,38769
2023-12-25 17:00:00,91542,91600,91487,91588,14297
2023-12-25 17:15:00,91587,91600,91529,91600,9327
2023-12-25 17:30:00,91599,91673,91539,91647,9871
2023-12-25 17:45:00,91647,91648,91455,91496,9471
2023-12-25 18:00:00,91495,91733,91455,91705,17906
2023-12-25 18:15:00,91702,91799,91633,91677,16199
2023-12-25 18:30:00,91670,91740,91623,91646,5894
2023-12-25 18:45:00,91643,91730,91629,91656,4107
2023-12-25 19:00:00,91740,91750,91500,91593,5724
2023-12-25 19:15:00,91593,91642,91552,91603,2812
2023-12-25 19:30:00,91616,91617,91525,91596,2370
2023-12-25 19:45:00,91596,91658,91570,91645,2206
2023-12-25 20:00:00,91645,91659,91616,91629,1191
2023-12-25 20:15:00,91630,91663,91582,91630,1515
2023-12-25 20:30:00,91637,91737,91626,91695,2755
2023-12-25 20:45:00,91696,91696,91662,91669,325
2023-12-25 21:00:00,91664,91684,91650,91650,413
2023-12-25 21:15:00,91659,91662,91611,91622,1013
2023-12-25 21:30:00,91621,91625,91595,91601,424
2023-12-25 21:45:00,91597,91646,91592,91631,597
2023-12-25 22:00:00,91632,91650,91615,91615,452
2023-12-25 22:15:00,91618,91625,91545,91580,1230
2023-12-25 22:30:00,91573,91586,91572,91580,436
2023-12-25 22:45:00,91580,91613,91578,91611,295
2023-12-25 23:00:00,91610,91628,91592,91606,583
