datetime,open,high,low,close,volume
2023-12-21 18:15:00,101468,101510,101401,101486,2376
2023-12-21 18:30:00,101488,101552,101431,101532,1950
2023-12-21 18:45:00,101528,101699,101510,101600,1915
2023-12-21 19:00:00,101696,101700,101398,101471,1539
2023-12-21 19:15:00,101465,101536,101440,101466,795
2023-12-21 19:30:00,101470,101470,101439,101456,244
2023-12-21 19:45:00,101463,101522,101436,101436,245
2023-12-21 20:00:00,101412,101421,101375,101389,630
2023-12-21 20:15:00,101392,101425,101331,101345,242
2023-12-21 20:30:00,101345,101438,101344,101387,214
2023-12-21 20:45:00,101381,101494,101370,101494,151
2023-12-21 21:00:00,101489,101498,101440,101452,534
2023-12-21 21:15:00,101452,101471,101358,101448,280
2023-12-21 21:30:00,101457,101478,101358,101371,394
2023-12-21 21:45:00,101371,101423,101371,101374,169
2023-12-21 22:00:00,101371,101402,101330,101402,116
2023-12-21 22:15:00,101397,101419,101356,101370,117
2023-12-21 22:30:00,101370,101418,101368,101396,196
2023-12-21 22:45:00,101401,101436,101369,101406,159
2023-12-21 23:00:00,101426,101450,101361,101383,191
2023-12-21 23:15:00,101383,101417,101330,101395,243
2023-12-21 23:30:00,101366,101424,101343,101350,212
2023-12-21 23:45:00,101345,101419,101345,101347,119
2023-12-22 08:45:00,101374,101374,101374,101374,1
2023-12-22 09:00:00,101367,101494,101328,101494,855
2023-12-22 09:15:00,101481,101551,101458,101512,632
2023-12-22 09:30:00,101496,101536,101441,101528,438
2023-12-22 09:45:00,101529,101636,101468,101620,893
2023-12-22 10:00:00,101622,101818,101525,101650,2531
2023-12-22 10:15:00,101636,101916,101598,101908,3110
2023-12-22 10:30:00,101910,101962,101776,101807,3116
2023-12-22 10:45:00,101808,101856,101624,101718,3382
2023-12-22 11:00:00,101716,101730,101532,101633,5735
2023-12-22 11:15:00,101643,101685,101555,101599,4876
2023-12-22 11:30:00,101595,101881,101539,101816,8195
2023-12-22 11:45:00,101807,101826,101581,101592,3556
2023-12-22 12:00:00,101592,101697,101571,101681,2957
2023-12-22 12:15:00,101667,101882,101660,101793,5423
2023-12-22 12:30:00,101792,101859,101232,101269,7484
2023-12-22 12:45:00,101273,101273,100935,101039,15745
2023-12-22 13:00:00,101044,101044,100891,100971,6908
2023-12-22 13:15:00,100966,101000,100891,100916,5193
2023-12-22 13:30:00,100916,100994,100891,100974,4035
2023-12-22 13:45:00,100975,101000,100955,100999,4794
2023-12-22 14:00:00,101000,101100,100999,101093,9350
2023-12-22 14:15:00,101093,101100,101028,101038,5861
2023-12-22 14:30:00,101044,101212,100990,101199,11943
2023-12-22 14:45:00,101193,101200,100994,101059,6475
2023-12-22 15:00:00,101060,101098,101013,101097,2141
2023-12-22 15:15:00,101094,101174,101067,101128,13747
2023-12-22 15:30:00,101127,101150,101075,101146,3258
2023-12-22 15:45:00,101145,101275,101091,101187,3598
2023-12-22 16:00:00,101195,101435,101188,101321,2502
2023-12-22 16:15:00,101332,101361,101263,101297,2380
2023-12-22 16:30:00,101299,101587,101299,101569,2859
2023-12-22 16:45:00,101575,101615,101425,101533,2169
2023-12-22 17:00:00,101533,101691,101532,101546,2121
2023-12-22 17:15:00,101546,101565,101442,101548,2106
2023-12-22 17:30:00,101560,101568,101364,101558,3123
2023-12-22 17:45:00,101560,101787,101543,101713,2831
2023-12-22 18:00:00,101704,101774,101618,101650,1952
2023-12-22 18:15:00,101648,101718,101574,101581,2122
2023-12-22 18:30:00,101564,101689,101556,101604,844
2023-12-22 18:45:00,101608,101610,101482,101482,354
2023-12-22 19:00:00,101659,101660,101539,101571,368
2023-12-22 19:15:00,101580,101649,101533,101649,144
2023-12-22 19:30:00,101618,101659,101556,101567,94
2023-12-22 19:45:00,101552,101555,101502,101502,159
2023-12-22 20:00:00,101516,101529,101481,101514,169
2023-12-22 20:15:00,101495,101530,101491,101521,64
2023-12-22 20:30:00,101523,101523,101455,101476,193
2023-12-22 20:45:00,101522,101522,101438,101505,146
2023-12-22 21:00:00,101514,101528,101456,101462,46
2023-12-22 21:15:00,101481,101526,101481,101523,3
2023-12-22 21:30:00,101513,101513,101485,101496,58
2023-12-22 21:45:00,101486,101495,101371,101451,219
2023-12-22 22:00:00,101469,101472,101422,101426,71
2023-12-22 22:15:00,101440,101463,101433,101444,70
